p	N	S	T
6	470	5249.9877772748	0.0011318000
6	1000	5249.9973000000	0.0013934000
6	2200	5249.9994421488	0.0014305000
6	4700	5249.9998777727	0.0014931000
6	10000	5249.9999730000	0.0012220000
6	22000	5249.9999944215	0.0014123000
6	47000	5249.9999987777	0.0013486000
6	100000	5249.9999997300	0.0013565000
6	220000	5249.9999999442	0.0017164000
6	470000	5249.9999999878	0.0014530000
6	1000000	5249.9999999973	0.0017922000
6	2200000	5249.9999999995	0.0023040000
6	4700000	5249.9999999998	0.0035629000
6	10000000	5249.9999999999	0.0066747000
6	22000000	5250.0000000001	0.0115085000
6	47000000	5249.9999999995	0.0248603999
6	100000000	5249.9999999999	0.0480641000
6	220000000	5250.0000000018	0.1009540000
6	470000000	5250.0000000027	0.2036070000
6	1000000000	5250.0000000081	0.4273814000
6	2200000000	5250.0000000199	0.9205414000
6	4700000000	5250.0000000487	1.9845231000
6	10000000000	5250.0000001203	4.1538081000
7	1	2550.0000000000	0.0014462000
7	2	4575.0000000000	0.0015403000
7	4	5081.2500000000	0.0014313000
7	7	5194.8979591837	0.0015482000
7	10	5223.0000000000	0.0014713000
7	22	5244.4214876033	0.0014875000
7	47	5248.7777274785	0.0014533999
7	100	5249.7300000000	0.0015785000
7	220	5249.9442148760	0.0014085000
7	470	5249.9877772748	0.0016876000
7	1000	5249.9973000000	0.0016428000
7	2200	5249.9994421488	0.0022622000
7	4700	5249.9998777727	0.0014631000
7	10000	5249.9999730000	0.0017788000
7	22000	5249.9999944215	0.0015243000
7	47000	5249.9999987777	0.0019150000
7	100000	5249.9999997300	0.0018102000
7	220000	5249.9999999442	0.0239244000
7	470000	5249.9999999878	0.0047288000
7	1000000	5249.9999999973	0.0020071000
7	2200000	5249.9999999994	0.0027128000
7	4700000	5250.0000000000	0.0035178000
7	10000000	5249.9999999999	0.0057872000
7	22000000	5249.9999999998	0.0105772000
7	47000000	5249.9999999996	0.0199986000
7	100000000	5249.9999999997	0.0408041000
7	220000000	5250.0000000007	0.0920818000
7	470000000	5249.9999999997	0.2121559000
7	1000000000	5250.0000000006	0.4075029000
7	2200000000	5249.9999999997	0.8651403000
7	4700000000	5249.9999999987	1.7930715000
7	10000000000	5249.9999999951	3.7143510000
8	1	2550.0000000000	0.0013350000
8	2	4575.0000000000	0.0015314000
8	4	5081.2500000000	0.0018785000
8	7	5194.8979591837	0.0018705000
8	10	5223.0000000000	0.0018581000
8	22	5244.4214876033	0.0021237000
8	47	5248.7777274785	0.0021615000
8	100	5249.7300000000	0.0019808000
8	220	5249.9442148760	0.0016572000
8	470	5249.9877772748	0.0016642000
8	1000	5249.9973000000	0.0016095000
8	2200	5249.9994421488	0.0017894000
8	4700	5249.9998777727	0.0016212999
8	10000	5249.9999730000	0.0017601000
8	22000	5249.9999944215	0.0016484000
8	47000	5249.9999987777	0.0017721000
8	100000	5249.9999997300	0.0019136000
8	220000	5249.9999999442	0.0018664000
8	470000	5249.9999999878	0.0017359000
8	1000000	5249.9999999973	0.0019994000
8	2200000	5249.9999999995	0.0025169000
8	4700000	5250.0000000000	0.0035128000
8	10000000	5250.0000000001	0.0053507000
8	22000000	5250.0000000000	0.0101998000
8	47000000	5249.9999999998	0.0180871000
8	100000000	5249.9999999998	0.0372883001
8	220000000	5250.0000000006	0.0763056000
8	470000000	5249.9999999995	0.1619946000
8	1000000000	5249.9999999995	0.3448624000
8	2200000000	5249.9999999982	0.7452969000
8	4700000000	5249.9999999957	1.5799396000
8	10000000000	5249.9999999872	3.3969264000
9	1	2550.0000000000	0.0015939000
9	2	4575.0000000000	0.0018948000
9	4	5081.2500000000	0.0020090000
9	7	5194.8979591837	0.0019770000
9	10	5223.0000000000	0.0020758000
9	22	5244.4214876033	0.0020779000
9	47	5248.7777274785	0.0021979000
9	100	5249.7300000000	0.0021420000
9	220	5249.9442148760	0.0022055000
9	470	5249.9877772748	0.0020548000
9	1000	5249.9973000000	0.0019839000
9	2200	5249.9994421488	0.0022962000
9	4700	5249.9998777727	0.0021160000
9	10000	5249.9999730000	0.0020529000
9	22000	5249.9999944215	0.0020049000
9	47000	5249.9999987777	0.0054223000
9	100000	5249.9999997300	0.0018350000
9	220000	5249.9999999442	0.0021635000
9	470000	5249.9999999878	0.0024294000
9	1000000	5249.9999999973	0.0025059000
9	2200000	5249.9999999994	0.0033319001
9	4700000	5250.0000000000	0.0036240000
9	10000000	5250.0000000001	0.0054009000
9	22000000	5249.9999999999	0.0095826000
9	47000000	5250.0000000000	0.0187355000
9	100000000	5250.0000000000	0.0347804000
9	220000000	5250.0000000004	0.0734227001
9	470000000	5250.0000000007	0.1511950000
9	1000000000	5250.0000000033	0.3195741000
9	2200000000	5250.0000000080	0.7013199000
9	4700000000	5250.0000000198	1.4926537000
9	10000000000	5250.0000000359	3.1593136000
10	1	2550.0000000000	0.0016508000
10	2	4575.0000000000	0.0025929000
10	4	5081.2500000000	0.0018840000
10	7	5194.8979591837	0.0021133000
10	10	5223.0000000000	0.0060147000
10	22	5244.4214876033	0.0031500000
10	47	5248.7777274785	0.0020081000
10	100	5249.7300000000	0.0020256000
10	220	5249.9442148760	0.0022142000
10	470	5249.9877772748	0.0023757000
10	1000	5249.9973000000	0.0022618000
10	2200	5249.9994421488	0.0021067000
10	4700	5249.9998777727	0.0019734000
10	10000	5249.9999730000	0.0021224000
10	22000	5249.9999944215	0.0022279000
10	47000	5249.9999987777	0.0021552000
10	100000	5249.9999997300	0.0023809000
10	220000	5249.9999999442	0.0019814000
